TimeNow;TimecodeSession;TimecodeTotal;TimecodeRecLength;TimecodeSequence;StartTimeTicks;MarkerColor;REF_MarkerName
5/12/2017 10:29:44 AM;00:14:04.4420000;00:14:04.4745614;00:14:04.4745617;00:14:04.4745620;8444711126;240,240,240;undefined marker
5/12/2017 10:29:44 AM;00:14:05.0590000;00:14:05.0914181;00:14:05.0914181;00:14:05.0914184;8451044453;182,182,182;da25
5/12/2017 10:29:57 AM;00:14:17.9590000;00:14:17.9912494;00:14:17.9912494;00:14:17.9912500;8579710991;240,240,240;undefined marker
5/12/2017 10:29:59 AM;00:14:19.8080000;00:14:19.8407447;00:14:19.8407447;00:14:19.8407450;8598377639;181,181,181;infod25
5/12/2017 10:30:11 AM;00:14:32.0440000;00:14:32.0766696;00:14:32.0766696;00:14:32.0766702;8720710850;240,240,240;undefined marker
5/12/2017 10:30:11 AM;00:14:32.1910000;00:14:32.2245836;00:14:32.2245836;00:14:32.2245839;8722377515;100,100,100;DAfinalpayment_1st
5/12/2017 10:30:17 AM;00:14:37.6760000;00:14:37.7093442;00:14:37.7093445;00:14:37.7093449;8777044127;240,240,240;undefined marker
5/12/2017 10:36:34 AM;00:20:55.1820000;00:20:55.2296411;00:20:55.2296411;00:20:55.2296414;12552373685;180,180,180;fpa1
5/12/2017 10:36:43 AM;00:21:03.5650000;00:21:03.6127179;00:21:03.6127179;00:21:03.6127185;12636040268;240,240,240;undefined marker
5/12/2017 10:37:10 AM;00:21:30.9990000;00:21:31.0474899;00:21:31.0474903;00:21:31.0474906;12910373327;255,255,255;undefined marker
5/12/2017 10:37:10 AM;00:21:31.0460000;00:21:31.0952775;00:21:31.0952775;00:21:31.0952779;12911039993;179,179,179;fpi1
5/12/2017 10:37:22 AM;00:21:43.3460000;00:21:43.3950813;00:21:43.3950813;00:21:43.3950816;13034039870;240,240,240;undefined marker
5/12/2017 10:37:23 AM;00:21:44.0790000;00:21:44.1281573;00:21:44.1281573;00:21:44.1281576;13041373196;178,178,178;fpa2
5/12/2017 10:37:30 AM;00:21:50.8280000;00:21:50.8781017;00:21:50.8781021;00:21:50.8781024;13108706462;240,240,240;undefined marker
5/12/2017 10:38:04 AM;00:22:24.5450000;00:22:24.5961214;00:22:24.5961214;00:22:24.5961220;13446039458;255,255,255;undefined marker
5/12/2017 10:38:04 AM;00:22:24.5760000;00:22:24.6271166;00:22:24.6271166;00:22:24.6271170;13446372791;177,177,177;fpi2
5/12/2017 10:38:16 AM;00:22:36.8780000;00:22:36.9297798;00:22:36.9297798;00:22:36.9297801;13569372668;240,240,240;undefined marker
5/12/2017 10:38:17 AM;00:22:37.6250000;00:22:37.6766594;00:22:37.6766594;00:22:37.6766600;13576705994;176,176,176;fpa3
5/12/2017 10:38:40 AM;00:23:01.3430000;00:23:01.3954003;00:23:01.3954003;00:23:01.3954006;13814039090;240,240,240;undefined marker
5/12/2017 10:38:41 AM;00:23:01.5240000;00:23:01.5763739;00:23:01.5763739;00:23:01.5763742;13815705755;175,175,175;fpi3
